Código Antiguo;Código Vigente;Código Madre Antiguo;Código Madre Nuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;Ámbito de Funcionamiento;Nombre Oficial;Certificación;Dependencia Administrativa;NivelAtencionEstabglosa;ComunaCódigo;ComunaGlosa;TipoViaGlosa;Número;Nombredevía;TelefonoMovil_TelefonoFijo;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia;Clasificación Tipo de SAPU;LatitudGlosa;LongitudGlosa;TipoSistemaSaludGlosa;Estado de Funcionamiento;NivelComplejidadEstabGlosa;Tipo de Atención;Fecha de Incorporación a la base
;201079;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;"SAPU ""Dr. Juan Lozic Perez""";No Aplica;Municipal;Primario;12401;Natales;Calle;;Javiera Carrera;612411000;03-05-2021;SI;Urgencia Ambulatoria (SAPU);Corto;-51,72820749;-72,4826468;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;25-06-2021
26-925;200025;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de Asociación Chilena de Seguridad;No Aplica;Privado;Secundario;12401;Natales;Calle;230;Baquedano;;17-11-1998;NO;No Aplica;No Aplica;-51,726161;-72,501522;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-913;200922;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Austral;No Aplica;Privado;No Aplica;12401;Natales;Calle;29;Tomás Rogers ;410996;30-08-1988;NO;No Aplica;No Aplica;-51,725382;-72,507691;Privado;Vigente en Operación Habitual;;No Aplica;
26-413;126413;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Dorotea;No Aplica;Municipal;Primario;12401;Natales;Calle;;Caserío de Villa Dorotea;63945987;;NO;No Aplica;No Aplica;-51,606211;-72,332383;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-090;126090;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Oficina Sanitaria ;Unidad de Atención;Oficina Sanitaria Dorotea;No Aplica;SEREMI de Salud;No Aplica;12401;Natales;Calle;;Puesto Fronterizo Dorotea;;;NO;No Aplica;No Aplica;-51,604699;-72,333088;Público ;Vigente en Operación Habitual;;No Aplica;
26-400;126400;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cerro Castillo (Torres del Paine);No Aplica;Municipal;Primario;12402;Torres del Paine;Calle;;Caserío de Cerro Castillo;95838851;;NO;No Aplica;No Aplica;-51,255381;-72,343624;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-410;126410;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Edén;No Aplica;Municipal;Primario;12401;Natales;Calle;;Caserío de Villa Puerto Edén;57380761;;NO;No Aplica;No Aplica;-49,125485;-74,412706;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-425;125425;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Villa O'Higgins;No Aplica;Servicio de Salud;Primario;11302;O'Higgins;Calle;;Aldea de O'Higgins;;;NO;No Aplica;No Aplica;-48,469575;-72,560842;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-428;125428;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Caleta Tortel;No Aplica;Servicio de Salud;Primario;11303;Tortel;Calle;;Aldea de Tortel;;;NO;No Aplica;No Aplica;-47,795894;-73,532303;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-103;125103;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Lord Cochrane;No Aplica;Servicio de Salud;Primario;11301;Cochrane;Calle;;Bernardo O'Higgins ;672261331;30-08-2021;SI;Urgencia Hospitalaria (UEH);No Aplica;-47,255574;-72,570726;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
25-409;125409;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Bertrand;No Aplica;Servicio de Salud;Primario;11401;Chile Chico;Calle;;Caserío de Puerto Bertrand;;;NO;No Aplica;No Aplica;-47,01695;-72,829424;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-410;125410;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Guadal;No Aplica;Servicio de Salud;Primario;11401;Chile Chico;Calle;;Aldea de Puerto Guadal;;;NO;No Aplica;No Aplica;-46,844357;-72,702121;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-411;125411;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Mallín Grande;No Aplica;Servicio de Salud;Primario;11401;Chile Chico;Calle;;Caserío de Mallín Grande;;;NO;No Aplica;No Aplica;-46,72719;-72,464323;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-412;125412;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Río Tranquilo;No Aplica;Servicio de Salud;Primario;11402;Río Ibáñez;Calle;;Aldea de Río Tranquilo;;;NO;No Aplica;No Aplica;-46,623638;-72,677364;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-408;125408;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Sánchez;No Aplica;Servicio de Salud;Primario;11402;Río Ibáñez;Calle;;Caserío de Puerto Sánchez;;;NO;No Aplica;No Aplica;-46,592047;-72,57875;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-102;125102;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Leopoldo Ortega R. (Chile Chico);No Aplica;Servicio de Salud;Primario;11401;Chile Chico;Calle;275;Lautaro ;672261411;;SI;Urgencia Hospitalaria (UEH);No Aplica;-46,541656;-71,725104;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
25-407;125407;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Bahía Murta;No Aplica;Servicio de Salud;Primario;11402;Río Ibáñez;Calle;;Aldea de Bahía Murta;;;NO;No Aplica;No Aplica;-46,458368;-72,674532;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-419;125419;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Ibáñez;No Aplica;Servicio de Salud;Primario;11402;Río Ibáñez;Calle;;Aldea de Puerto Ibáñez;;;NO;No Aplica;No Aplica;-46,292009;-71,93383;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-420;125420;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cerro Castillo (Río Ibáñez);No Aplica;Servicio de Salud;Primario;11402;Río Ibáñez;Calle;;Aldea de Cerro Castillo;;;NO;No Aplica;No Aplica;-46,120907;-72,160704;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-400;125400;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Balmaceda;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Aldea de Balmaceda;;;NO;No Aplica;No Aplica;-45,909085;-71,698017;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-413;125413;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural El Blanco;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Aldea de el Blanco;;;NO;No Aplica;No Aplica;-45,814425;-71,916229;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-414;125414;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Valle Simpson;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Aldea de Valle Simpson;;;NO;No Aplica;No Aplica;-45,714416;-72,081074;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-423;125423;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Lago Atravesado;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Sector Lago Atravesado;;;NO;No Aplica;No Aplica;-45,668476;-72,212037;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-300;125300;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio General Urbano  (CGU);Establecimiento de Salud;Consultorio Víctor Domingo Silva;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Alejandro Gutiérrez;800500977;;NO;No Aplica;No Aplica;-45,582722;-72,06043;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;13-06-2022
25-201;125201;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico del Trabajador Coyhaique;No Aplica;Privado;Secundario;11101;Coyhaique;Avenida;1018;Ogana;672232710;;NO;No Aplica;No Aplica;-45,580609;-72,073614;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-900;200170;25-301;125301;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dr. Alejandro Gutiérrez;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;1955;Francisco Bilbao;672671263;;SI;Urgencia Ambulatoria (SAPU);Corto;-45,579991;-72,046529;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-301;125301;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio General Urbano  (CGU);Establecimiento de Salud;Consultorio Alejandro Gutiérrez;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;;Bilbao ;800500976;;NO;No Aplica;No Aplica;-45,579864;-72,046382;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-903;200256;25-010;125010;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Coyhaique;No Aplica;Servicio de Salud;Secundario;11101;Coyhaique;Calle;1435;Freire;672261403;29-08-2016;NO;No Aplica;No Aplica;-45,578087;-72,055291;Público ;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
25-904;200359;25-301;125301;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Alejandro Gutierrez;No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;63;Lautaro;;21-06-2017;NO;No Aplica;No Aplica;-45,574076;-72,076548;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-901;200202;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio - Clínica Bilbao;No Aplica;Privado;Primario;11101;Coyhaique;Calle;449;Francisco Bilbao;95406218;06-08-2015;NO;No Aplica;No Aplica;-45,573014;-72,06877;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-908;200441;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Centro Médico y Dental Clínica Bilbao;No Aplica;Privado;No Aplica;11101;Coyhaique;Calle;449;Francisco Bilbao;672583126;06-01-2012;NO;No Aplica;No Aplica;-45,573005;-72,068789;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
;200689;;;11;Región De Aysén del General Carlos Ibañez del Campo;;;No Aplica;Servicio Médico Legal;Establecimiento Medicina Legal;Servicio Médico Legal Coyhaique;No Aplica;Ministerio de Justicia ;No Aplica;11101;Coyhaique;Calle;288;12 de Octubre, Oficina 206 - 207;(67)236309 ;;NO;No Aplica;No Aplica;-45,571887;-72,0719629;Institución Medicina Legal;Vigente en Operación Habitual;;No Aplica;
25-907;200419;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Diagnóstico Análisis Coyhaique;No Aplica;Privado;No Aplica;11101;Coyhaique;Calle;20;Eusebio Lillo, Piso 2;672574130;15-11-2007;NO;No Aplica;No Aplica;-45,57109;-72,064617;Privado;Vigente en Operación Habitual;;No Aplica;
25-200;125200;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC Coyhaique;No Aplica;Privado;Secundario;11101;Coyhaique;Calle;20;Eusebio Lillo;672232777;;NO;No Aplica;No Aplica;-45,571075;-72,064675;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-906;200418;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Thomas Ltda.;No Aplica;Privado;No Aplica;11101;Coyhaique;Calle;228;Condell;672210051;12-08-1993;NO;No Aplica;No Aplica;-45,570648;-72,066873;Privado;Vigente en Operación Habitual;;No Aplica;
25-207;125207;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;Centro Médico y Dental XI Zona Aysén del General Carlos Ibáñez del Campo;No Aplica;Fuerzas Armadas y de Orden (FFAA);No Aplica;11101;Coyhaique;Calle;534;Baquedano;672567034;;NO;No Aplica;No Aplica;-45,569792;-72,063939;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
25-909;200514;;;11;Región De Aysén del General Carlos Ibañez del Campo;11;SEREMI De Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Servicios de Enfermería y Salud Camila Barrueto;No Aplica;Privado;Primario;11101;Coyhaique;Calle;328;21 de Mayo, Piso 2;;30-07-2018;NO;No Aplica;No Aplica;-45,568717;-72,0674;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
25-100;125100;;;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Regional (Coihaique);Autogestionado en Red (EAR);Servicio de Salud;Terciario;11101;Coyhaique;Calle;68;Jorge Ibar;672262003;;SI;Urgencia Hospitalaria (UEH);No Aplica;-45,568399;-72,073423;Público ;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
25-012;125012;25-010;125010;11;Región De Aysén del General Carlos Ibañez del Campo;25;Servicio de Salud Aysén;Perteneciente al Sistema Nacional de Servicios de Salud;Unidad de Procedimientos Móvil ;Unidad de Atención;Clínica Dental Móvil Simple. Pat. PW4067 (Coihaique);No Aplica;Servicio de Salud;Primario;11101;Coyhaique;Calle;168;Dr. Jorge Ibar ;;;NO;No Aplica;No Aplica;-45,567569;-72,073585;Público ;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
